Site,Plot,Collar,Distance_m,Tag,No_tag_species,No_tag_DBH,Date,Notes
SERC,HSME,84,2.1,851,,,7/26/2018,
SERC,HSME,84,5.3,839,,,7/26/2018,
SERC,HSME,84,6.7,841,,,7/26/2018,
SERC,HSME,84,6.7,840,,,7/26/2018,
SERC,HSME,84,8.8,848,,,7/26/2018,
SERC,HSME,84,3.6,843,,,7/26/2018,
SERC,HSME,84,6.3,833,,,7/26/2018,
SERC,HSME,84,9.1,854,,,7/26/2018,
SERC,HSME,84,3.4,837,,,7/26/2018,
SERC,HSME,84,4.5,838,,,7/26/2018,
SERC,HSME,84,7.4,836,,,7/26/2018,
SERC,HSME,84,8.9,835,,,7/26/2018,
SERC,HSME,84,7.4,822,,,7/26/2018,
SERC,HSME,84,6.6,842,,,7/26/2018,
SERC,HSME,84,9.7,819,,,7/26/2018,
SERC,HSME,84,9.3,818,,,7/26/2018,
SERC,HSME,84,4.9,817,,,7/26/2018,
SERC,HSLE,69,3.8,709,,,7/26/2018,
SERC,HSLE,69,6.5,708,,,7/26/2018,
SERC,HSLE,69,6.7,707,,,7/26/2018,
SERC,HSLE,69,6.3,710,,,7/26/2018,
SERC,HSLE,69,6.8,711,,,7/26/2018,
SERC,HSLE,69,7.8,712,,,7/26/2018,
SERC,HSLE,69,8.7,716,,,7/26/2018,
SERC,HSLE,69,6.2,717,,,7/26/2018,
SERC,HSLE,69,7.8,726,,,7/26/2018,
SERC,HSLE,69,9.1,720,,,7/26/2018,
SERC,HSLE,69,8.6,719,,,7/26/2018,
SERC,HSLE,69,8.5,721,,,7/26/2018,
SERC,HSLE,69,7.2,,?,60.3,7/26/2018,
SERC,HSLE,69,7.3,,?,19,7/26/2018,
SERC,HSLE,69,4.1,718,,,7/26/2018,
SERC,HSLE,69,5.3,,?,14.5,7/26/2018,
SERC,HSLE,70,5.8,717,,,7/26/2018,
SERC,HSLE,70,5.9,726,,,7/26/2018,
SERC,HSLE,70,6,723,,,7/26/2018,
SERC,HSLE,70,8,724,,,7/26/2018,
SERC,HSLE,70,5.3,722,,,7/26/2018,
SERC,HSLE,70,9.1,,?,16.5,7/26/2018,
SERC,HSLE,70,8,,?,4.8,7/26/2018,
SERC,HSLE,70,8.6,,?,16.5,7/26/2018,
SERC,HSLE,70,3.9,720,,,7/26/2018,
SERC,HSLE,70,3.6,719,,,7/26/2018,
SERC,HSLE,70,3.4,721,,,7/26/2018,
SERC,HSLE,70,4.5,,?,60.3,7/26/2018,
SERC,HSLE,70,5.5,,?,19,7/26/2018,
SERC,HSLE,70,5,718,,,7/26/2018,
SERC,HSLE,70,7.7,,?,14.5,7/26/2018,
SERC,HSLE,70,7.9,709,,,7/26/2018,
SERC,HSLE,71,1.3,709,,,7/26/2018,
SERC,HSLE,71,4.6,708,,,7/26/2018,
SERC,HSLE,71,9.8,706,,,7/26/2018,
SERC,HSLE,71,7,707,,,7/26/2018,
SERC,HSLE,71,8.1,710,,,7/26/2018,
SERC,HSLE,71,9,711,,,7/26/2018,
SERC,HSLE,71,9.1,717,,,7/26/2018,
SERC,HSLE,71,9.7,720,,,7/26/2018,
SERC,HSLE,71,9.1,719,,,7/26/2018,
SERC,HSLE,71,8.9,721,,,7/26/2018,
SERC,HSLE,71,6.4,,?,60.3,7/26/2018,
SERC,HSLE,71,2.9,718,,,7/26/2018,
SERC,HSLE,71,5.5,,?,19,7/26/2018,
SERC,HSLE,71,2.1,,?,14.5,7/26/2018,
SERC,HSLE,72,3.3,708,,,7/26/2018,
SERC,HSLE,72,7.1,706,,,7/26/2018,
SERC,HSLE,72,2.5,707,,,7/26/2018,
SERC,HSLE,72,7.4,705,,,7/26/2018,
SERC,HSLE,72,4.4,710,,,7/26/2018,
SERC,HSLE,72,5.5,711,,,7/26/2018,
SERC,HSLE,72,7.2,712,,,7/26/2018,
SERC,HSLE,72,9.8,713,,,7/26/2018,
SERC,HSLE,72,9.6,717,,,7/26/2018,
SERC,HSLE,72,7.1,718,,,7/26/2018,
SERC,HSLE,72,6.1,,?,19,7/26/2018,
SERC,HSLE,72,4,709,,,7/26/2018,
SERC,HSLE,72,11.1,716,,,11/20/2018,
SERC,HSLE,72,11.6,726,,,11/20/2018,
SERC,HSLE,72,15,723,,,11/20/2018,
SERC,HSLE,72,12.4,721,,,11/20/2018,
SERC,HSLE,72,12.6,719,,,11/20/2018,
SERC,HSLE,72,13.1,720,,,11/20/2018,
SERC,HSLE,72,15,722,,,11/20/2018,
SERC,HSLE,72,10.5,,LIST,60.5,11/20/2018,
SERC,HSLE,72,11.1,,ILOP,5.6,11/20/2018,
SERC,HSLE,72,14.2,,NYSY,10.6,11/20/2018,
SERC,HSLE,72,11,,NYSY,20,11/20/2018,
SERC,HSLE,72,13.3,,NYSY,20.8,11/20/2018,
SERC,HSLE,72,13.5,,NYSY,14.2,11/20/2018,
SERC,HSLE,72,10.3,,NYSY,19.5,11/20/2018,
SERC,HSLE,72,10.4,,LIST,17.6,11/20/2018,
SERC,HSLE,72,11.5,,LIST,34.3,11/20/2018,
SERC,HSLE,72,14.5,,LIST,35.8,11/20/2018,
SERC,HSLE,72,12.8,,LIST,16.3,11/20/2018,
SERC,HSLE,72,13.4,,QU??,21.7,11/20/2018,
SERC,HSLE,72,14.3,,QU??,9,11/20/2018,
SERC,HSLE,72,14.9,,LIST,28.8,11/20/2018,
SERC,HSLE,72,13.7,,ACRU,44.7,11/20/2018,
SERC,HSLE,72,9.7,713,,,11/20/2018,
SERC,HSLE,72,12.5,,CACA,10.8,11/20/2018,
SERC,HSLE,71,11.8,716,,,11/20/2018,
SERC,HSLE,71,10.1,712,,,11/20/2018,
SERC,HSLE,71,14,713,,,11/20/2018,
SERC,HSLE,71,10.7,705,,,11/20/2018,
SERC,HSLE,71,11.5,,LIST,17.6,11/20/2018,
SERC,HSLE,71,11.5,,LIST,34.3,11/20/2018,
SERC,HSLE,71,14.8,,QU??,35.5,11/20/2018,
SERC,HSLE,71,14.1,,LIST,16.3,11/20/2018,
SERC,HSLE,71,12.8,,NYSY,11.1,11/20/2018,
SERC,HSLE,71,14,,NYSY,17.3,11/20/2018,
SERC,HSLE,71,14,,NYSY,4.9,11/20/2018,
SERC,HSLE,71,14.6,,QU??,16.7,11/20/2018,
SERC,HSLE,71,11.6,722,,,11/20/2018,
SERC,HSLE,71,14.2,724,,,11/20/2018,
SERC,HSLE,71,12.7,723,,,11/20/2018,
SERC,HSLE,71,10.6,726,,,11/20/2018,
SERC,HSLE,71,11.7,716,,,11/20/2018,
SERC,HSLE,70,13.1,747,,,11/20/2018,
SERC,HSLE,70,13.4,745,,,11/20/2018,
SERC,HSLE,70,12.5,744,,,11/20/2018,
SERC,HSLE,70,13.3,739,,,11/20/2018,
SERC,HSLE,70,12.2,738,,,11/20/2018,
SERC,HSLE,70,10.6,725,,,11/20/2018,
SERC,HSLE,70,14.3,737,,,11/20/2018,
SERC,HSLE,70,11.8,712,,,11/20/2018,
SERC,HSLE,70,11.4,711,,,11/20/2018,
SERC,HSLE,70,10.9,710,,,11/20/2018,
SERC,HSLE,70,11.9,707,,,11/20/2018,
SERC,HSLE,70,10.8,708,,,11/20/2018,
SERC,HSLE,70,11.7,,NYSY,13.5,11/20/2018,
SERC,HSLE,70,12,,NYSY,7.5,11/20/2018,
SERC,HSLE,70,14.6,,LIST,27.8,11/20/2018,
SERC,HSLE,70,14.4,,NYSY,19.5,11/20/2018,
SERC,HSLE,70,10.3,,NYSY,20.8,11/20/2018,
SERC,HSLE,70,12.6,,QU??,17.1,11/20/2018,
SERC,HSLE,70,13.3,,LIST,7,11/20/2018,
SERC,HSLE,70,10.1,,NYSY,3.7,11/20/2018,
SERC,HSLE,70,12.2,,LIST,1.7,11/20/2018,
SERC,HSLE,69,13,713,,,11/20/2018,
SERC,HSLE,69,11.4,705,,,11/20/2018,
SERC,HSLE,69,11.2,706,,,11/20/2018,
SERC,HSLE,69,13.8,,LIST,17.6,11/20/2018,
SERC,HSLE,69,11.2,,LIST,27.7,11/20/2018,
SERC,HSLE,69,14.5,,LIST,34.4,11/20/2018,
SERC,HSLE,69,11.5,,LIST,19.5,11/20/2018,
SERC,HSLE,69,11.3,,NYSY,20.9,11/20/2018,
SERC,HSLE,69,11.6,,NYSY,14.3,11/20/2018,
SERC,HSLE,69,11.1,,NYSY,10.4,11/20/2018,
SERC,HSLE,69,12.5,,NYSY,11.1,11/20/2018,
SERC,HSLE,69,13.4,,LIST,17.4,11/20/2018,
SERC,HSLE,69,12.8,,NYSY,4.8,11/20/2018,
SERC,HSLE,69,14.2,,QU??,17.1,11/20/2018,
SERC,HSLE,69,10.6,722,,,11/20/2018,
SERC,HSLE,69,10.8,723,,,11/20/2018,
SERC,HSLE,69,12.7,724,,,11/20/2018,
SERC,HSLE,69,13.2,725,,,11/20/2018,
SERC,HSME,81,13.8,,QUMO,60.7,11/20/2018,
SERC,HSME,81,14.2,701,,,11/20/2018,
SERC,HSME,81,11.2,805,,,11/20/2018,
SERC,HSME,81,13.8,702,,,11/20/2018,
SERC,HSME,81,11,818,,,11/20/2018,
SERC,HSME,81,12.3,819,,,11/20/2018,
SERC,HSME,81,14.1,730,,,11/20/2018,
SERC,HSME,81,12.4,842,,,11/20/2018,
SERC,HSME,81,13.7,822,,,11/20/2018,
SERC,HSME,81,11.4,838,,,11/20/2018,
SERC,HSME,81,14.6,836,,,11/20/2018,
SERC,HSME,82,12.8,805,,,11/20/2018,
SERC,HSME,82,15,818,,,11/20/2018,
SERC,HSME,82,11.7,817,,,11/20/2018,
SERC,HSME,82,10.6,850,,,11/20/2018,
SERC,HSME,82,11.5,857,,,11/20/2018,
SERC,HSME,82,14.3,843,,,11/20/2018,
SERC,HSME,82,11.3,839,,,11/20/2018,
SERC,HSME,82,14.7,841,,,11/20/2018,
SERC,HSME,82,10.1,939,,,11/20/2018,
SERC,HSME,82,14.5,,,31.9,11/20/2018,
SERC,HSME,82,11,,FAGR,7.9,11/20/2018,
SERC,HSME,82,12.5,,QUAL,27.2,11/20/2018,
SERC,HSME,82,12.5,,QUMO,60.7,11/20/2018,
SERC,HSME,82,14.6,701,,,11/20/2018,
SERC,HSME,83,10.7,804,,,11/20/2018,
SERC,HSME,83,14.3,805,,,11/20/2018,
SERC,HSME,83,14.1,818,,,11/20/2018,
SERC,HSME,83,14.6,842,,,11/20/2018,
SERC,HSME,83,12.9,838,,,11/20/2018,
SERC,HSME,83,11.8,837,,,11/20/2018,
SERC,HSME,83,14.4,833,,,11/20/2018,
SERC,HSME,83,10.4,843,,,11/20/2018,
SERC,HSME,83,10.7,841,,,11/20/2018,
SERC,HSME,83,10.8,840,,,11/20/2018,
SERC,HSME,83,11.6,848,,,11/20/2018,
SERC,HSME,83,13.9,943,,,11/20/2018,
SERC,HSME,83,12.5,942,,,11/20/2018,
SERC,HSME,83,10.1,939,,,11/20/2018,
SERC,HSME,83,11.6,938,,,11/20/2018,
SERC,HSME,83,12.2,,QUAL,27.2,11/20/2018,
SERC,HSME,83,13.4,,FAGR,7.9,11/20/2018,
SERC,HSME,83,12.6,,QURU,52.8,11/20/2018,
SERC,HSME,84,10.2,730,,,11/20/2018,
SERC,HSME,84,10.5,820,,,11/20/2018,
SERC,HSME,84,12.3,727,,,11/20/2018,
SERC,HSME,84,14.1,728,,,11/20/2018,
SERC,HSME,84,15,729,,,11/20/2018,
SERC,HSME,84,11.1,823,,,11/20/2018,
SERC,HSME,84,10.2,824,,,11/20/2018,
SERC,HSME,84,11.8,825,,,11/20/2018,
SERC,HSME,84,14.5,853,,,11/20/2018,
SERC,HSME,84,14.7,852,,,11/20/2018,
SERC,HSME,84,10.4,844,,,11/20/2018,
SERC,HSME,84,10.6,846,,,11/20/2018,
SERC,HSME,84,11.3,845,,,11/20/2018,
SERC,HSME,84,13.9,847,,,11/20/2018,
SERC,HSME,84,14.3,943,,,11/20/2018,
SERC,HSME,84,14.7,942,,,11/20/2018,
SERC,HSME,84,10.6,812,,,11/20/2018,
SERC,HSME,84,11.5,810,,,11/20/2018,
SERC,HSME,84,12.2,809,,,11/20/2018,
SERC,HSME,84,15,801,,,11/20/2018,
SERC,HSME,84,10.4,808,,,11/20/2018,
SERC,HSME,84,12.9,803,,,11/20/2018,
SERC,HSME,84,12.5,811,,,11/20/2018,
SERC,HSME,84,14.3,804,,,11/20/2018,
SERC,HSHE,88,10.5,812,,,11/20/2018,
SERC,HSHE,88,13,813,,,11/20/2018,
SERC,HSHE,88,14.3,814,,,11/20/2018,
SERC,HSHE,88,11.8,810,,,11/20/2018,
SERC,HSHE,88,14.8,938,,,11/20/2018,
SERC,HSHE,88,13.6,,QURU,31.7,11/20/2018,
SERC,HSHE,88,11.4,934,,,11/20/2018,
SERC,HSHE,88,11.6,935,,,11/20/2018,
SERC,HSHE,88,11.4,901,,,11/20/2018,
SERC,HSHE,88,12.4,,FAGR,6.7,11/20/2018,
SERC,HSHE,88,10.2,,FAGR,9,11/20/2018,
SERC,HSHE,88,14.9,,ACRU,23.6,11/20/2018,
SERC,HSHE,88,13.5,,LIST,14.2,11/20/2018,
SERC,HSHE,88,14.2,,LITU,49.1,11/20/2018,
SERC,HSHE,88,11.7,906,,,11/20/2018,
SERC,HSHE,88,13.5,,LITU,57.8,11/20/2018,
SERC,HSHE,88,13.4,907,,,11/20/2018,
SERC,HSHE,88,11.5,926,,,11/20/2018,
SERC,HSHE,88,10.1,924,,,11/20/2018,
SERC,HSHE,88,10.2,925,,,11/20/2018,
SERC,HSHE,88,12.8,923,,,11/20/2018,
SERC,HSHE,86,15,848,,,11/20/2018,
SERC,HSHE,86,11.3,923,,,11/20/2018,
SERC,HSHE,86,14.4,922,,,11/20/2018,
SERC,HSHE,86,10.5,907,,,11/20/2018,
SERC,HSHE,86,13.5,,ACRU,13.4,11/20/2018,
SERC,HSHE,86,11,,LIST,14.2,11/20/2018,
SERC,HSHE,86,11.6,,LITU,49.1,11/20/2018,
SERC,HSHE,86,14.3,,QUAL,7.3,11/20/2018,
SERC,HSHE,86,12.8,,ACRU,23.6,11/20/2018,
SERC,HSHE,86,11.5,,FAGR,6.7,11/20/2018,
SERC,HSHE,86,12.7,901,,,11/20/2018,
SERC,HSHE,86,10.9,937,,,11/20/2018,
SERC,HSHE,86,11,936,,,11/20/2018,
SERC,HSHE,86,13.8,934,,,11/20/2018,
SERC,HSHE,86,13.9,935,,,11/20/2018,
SERC,HSHE,86,12,939,,,11/20/2018,
SERC,HSHE,86,12.7,940,,,11/20/2018,
SERC,HSHE,86,14.6,810,,,11/20/2018,
SERC,HSHE,86,12.7,812,,,11/20/2018,
SERC,HSHE,85,11.2,908,,,11/20/2018,
SERC,HSHE,85,12.5,,QU??,5.6,11/20/2018,
SERC,HSHE,85,10.5,,LIST,14.2,11/20/2018,
SERC,HSHE,85,11.1,,LITU,49.1,11/20/2018,
SERC,HSHE,85,14.3,,QUAL,7.3,11/20/2018,
SERC,HSHE,85,13.8,,ACRU,23.7,11/20/2018,
SERC,HSHE,85,14.8,,FAGR,4.7,11/20/2018,
SERC,HSHE,85,13.9,,FAGR,8.6,11/20/2018,
SERC,HSHE,85,11.1,,ACRU,19.2,11/20/2018,
SERC,HSHE,85,10.1,904,,,11/20/2018,
SERC,HSHE,85,14.6,902,,,11/20/2018,
SERC,HSHE,85,14.5,933,,,11/20/2018,
SERC,HSHE,85,13.3,932,,,11/20/2018,
SERC,HSHE,85,14.6,812,,,11/20/2018,
SERC,HSHE,85,14,848,,,11/20/2018,
SERC,HSHE,85,12.9,946,,,11/20/2018,
SERC,HSHE,85,13,915,,,11/20/2018,
SERC,HSHE,85,13.1,914,,,11/20/2018,
SERC,HSHE,85,14.2,913,,,11/20/2018,
SERC,HSHE,87,10.9,908,,,11/20/2018,
SERC,HSHE,87,12.3,,FAGR,8.6,11/20/2018,
SERC,HSHE,87,14.1,,ACRU,31.7,11/20/2018,
SERC,HSHE,87,11.8,,FAGR,7.4,11/20/2018,
SERC,HSHE,87,14.5,,ACRU,36.5,11/20/2018,
SERC,HSHE,87,10.9,,CO??,3,11/20/2018,
SERC,HSHE,87,14.5,,FAGR,8.4,11/20/2018,
SERC,HSHE,87,13.9,,LITU,65.1,11/20/2018,
SERC,HSHE,87,11.2,,FAGR,8.5,11/20/2018,
SERC,HSHE,87,10.2,,FAGR,4.7,11/20/2018,
SERC,HSHE,87,13.6,,FAGR,8.5,11/20/2018,
SERC,HSHE,87,11.2,,FAGR,6.7,11/20/2018,
SERC,HSHE,87,12.6,902,,,11/20/2018,
SERC,HSHE,87,11.8,932,,,11/20/2018,
SERC,HSHE,87,11.6,942,,,11/20/2018,
SERC,HSHE,87,11.8,943,,,11/20/2018,
SERC,HSHE,87,10.1,944,,,11/20/2018,
SERC,HSHE,87,11.3,923,,,11/20/2018,
SERC,HSHE,87,13.5,922,,,11/20/2018,
SERC,HSHE,87,13.9,921,,,11/20/2018,
SERC,HSHE,87,13.5,920,,,11/20/2018,
SERC,HSHE,87,12.4,919,,,11/20/2018,
SERC,HSHE,87,12.6,918,,,11/20/2018,
SERC,MSHE,116,12.4,526,,,1/25/2019,
SERC,MSHE,116,12,622,,,1/25/2019,
SERC,MSHE,116,4.3,626,,,1/25/2019,
SERC,MSHE,116,7.3,625,,,1/25/2019,
SERC,MSHE,116,11.9,623,,,1/25/2019,
SERC,MSHE,116,9.5,624,,,1/25/2019,
SERC,MSHE,116,9.1,627,,,1/25/2019,
SERC,MSHE,116,9.9,628,,,1/25/2019,
SERC,MSHE,116,8.3,632,,,1/25/2019,
SERC,MSHE,116,10.9,631,,,1/25/2019,
SERC,MSHE,116,13.1,630,,,1/25/2019,
SERC,MSHE,116,14.8,,FAGR,9.5,1/25/2019,
SERC,MSHE,116,5.1,633,,,1/25/2019,
SERC,MSHE,116,10.8,,LITU,56.7,1/25/2019,
SERC,MSHE,116,9.6,634,,,1/25/2019,
SERC,MSHE,116,5.2,635,,,1/25/2019,
SERC,MSHE,116,12,,ACRU,21.1,1/25/2019,
SERC,MSHE,116,13.6,,FAGR,9,1/25/2019,
SERC,MSHE,116,12,617,,,1/25/2019,
SERC,MSHE,116,6.9,619,,,1/25/2019,
SERC,MSHE,116,10.4,618,,,1/25/2019,
SERC,MSHE,116,14.7,616,,,1/25/2019,
SERC,MSHE,116,12.8,615,,,1/25/2019,
SERC,MSHE,116,10.3,614,,,1/25/2019,
SERC,MSHE,116,12.1,613,,,1/25/2019,
SERC,MSHE,116,12.4,612,,,1/25/2019,
SERC,MSHE,116,14.8,610,,,1/25/2019,
SERC,MSHE,116,9.4,620,,,1/25/2019,
SERC,MSHE,116,12.6,523,,,1/25/2019,
SERC,MSHE,116,9.6,621,,,1/25/2019,
SERC,MSHE,116,10.4,525,,,1/25/2019,
SERC,MSHE,115,9.2,626,,,1/25/2019,
SERC,MSHE,115,11.8,625,,,1/25/2019,
SERC,MSHE,115,13,624,,,1/25/2019,
SERC,MSHE,115,10.8,627,,,1/25/2019,
SERC,MSHE,115,11.4,628,,,1/25/2019,
SERC,MSHE,115,10.4,629,,,1/25/2019,
SERC,MSHE,115,6.9,632,,,1/25/2019,
SERC,MSHE,115,9.4,631,,,1/25/2019,
SERC,MSHE,115,11.3,630,,,1/25/2019,
SERC,MSHE,115,13.7,,FAGR,9.5,1/25/2019,
SERC,MSHE,115,14.8,,ACRU,16.5,1/25/2019,
SERC,MSHE,115,14.7,,ACRU,18.7,1/25/2019,
SERC,MSHE,115,12.7,,ACRU,23.7,1/25/2019,
SERC,MSHE,115,5.1,,LITU,56.7,1/25/2019,
SERC,MSHE,115,10.8,,FAGR,48.4,1/25/2019,
SERC,MSHE,115,3.5,634,,,1/25/2019,
SERC,MSHE,115,6.2,,ACRU,21.1,1/25/2019,
SERC,MSHE,115,10.2,,,32.9,1/25/2019,check species
SERC,MSHE,115,12.8,,FAGR,42.5,1/25/2019,
SERC,MSHE,115,15,,QU??,58.2,1/25/2019,
SERC,MSHE,115,13,,FAGR,5.3,1/25/2019,
SERC,MSHE,115,9,,FAGR,9.5,1/25/2019,
SERC,MSHE,115,8.6,617,,,1/25/2019,
