loggernet_variable,cr1000_name,var_type,link,research_name,logger,type,definition
AMB_B2(1),amb_b21,treatment,T1,amb_b2,c4log,number,spatial average of ambient belowground temperature  (celcius) used for control
AMB_B2(2),amb_b22,treatment,T2,amb_b2,c3log,number,spatial average of ambient belowground temperature  (celcius) used for control
AMB_B2(2),amb_b22,treatment,T2,amb_b2,c4log,number,spatial average of ambient belowground temperature  (celcius) used for control
AMB_B2(3),amb_b23,treatment,T3,amb_b2,c3log,number,spatial average of ambient belowground temperature  (celcius) used for control
AMB_B2(3),amb_b23,treatment,T3,amb_b2,c4log,number,spatial average of ambient belowground temperature  (celcius) used for control
AMB_B2(4),amb_b24,treatment,eT3,amb_b2,c3log,number,spatial average of ambient belowground temperature  (celcius) used for control
Amb_Ba_Avg,amb_ba_avg,site,logger,amb_ba_avg,c3log,number,variable of record for internal ambient belowground spatial average
Amb_Ba_Avg,amb_ba_avg,site,logger,amb_ba_avg,c4log,number,variable of record for internal ambient belowground spatial average
AMB_BeT0,amb_bet0,site,logger,amb_bet0,c3log,number,internal ambient belowground spatial average from ambient non elevated co2 thermocuples (lag and pin) 
AMB_BT0,amb_bt0,site,logger,amb_bt0,c3log,number,internal ambient belowground spatial average from ambient elevated co2 thermocuples (lag and pin) 
AMB_BT0,amb_bt0,site,logger,amb_bt0,c4log,number,internal ambient belowground spatial average
Amb_EXT_Avg,amb_ext_avg,site,logger,amb_ext_avg,c3log,number,external ambient aboveground spatial average
Amb_EXT_Avg,amb_ext_avg,site,logger,amb_ext_avg,c4log,number,external ambient aboveground spatial average
Amb_EXT_Std,amb_ext_std,site,logger,amb_ext_std,c3log,number, Standard deviation external ambient aboveground spatial average
Amb_EXT_Std,amb_ext_std,site,logger,amb_ext_std,c4log,number, Standard deviation external ambient aboveground spatial average
Amb_EXTb_Avg,amb_extb_avg,site,logger,amb_extb_avg,c3log,number,external ambient belowground spatial average
Amb_EXTb_Avg,amb_extb_avg,site,logger,amb_extb_avg,c4log,number,external ambient belowground spatial average
AMB_R(1),amb_r1,treatment,T1,amb_r,c3log,number,external ambient belowground running average 90 seconds
AMB_R(1),amb_r1,treatment,T1,amb_r,c4log,number,external ambient belowground running average 90 seconds
AMB_R(2),amb_r2,treatment,T2,amb_r,c3log,number,external ambient belowground running average 90 seconds
AMB_R(2),amb_r2,treatment,T2,amb_r,c4log,number,external ambient belowground running average 90 seconds
AMB_R(3),amb_r3,treatment,T3,amb_r,c3log,number,external ambient belowground running average 90 seconds
AMB_R(3),amb_r3,treatment,T3,amb_r,c4log,number,external ambient belowground running average 90 seconds
AMB_R(4),amb_r4,treatment,eT3,amb_r,c3log,number,external ambient belowground running average 90 seconds
AmbX,ambx,site,logger,ambx,c3log,number,variable of record for external ambient aboveground spatial average
AmbX,ambx,site,logger,ambx,c4log,number,variable of record for external ambient aboveground spatial average
AmbX_Avg,ambx_avg,site,logger,ambx_avg,c3log,number,variable of record for external ambient aboveground spatial average
AmbX_Avg,ambx_avg,site,logger,ambx_avg,c4log,number,variable of record for external ambient aboveground spatial average
AmbXb(1),ambxb1,site,logger,ambxb1,c3log,number,external belowground ambient temperature (celcius)
AmbXb(1),ambxb1,site,logger,ambxb1,c4log,number,external belowground ambient temperature (celcius)
AmbXb(2),ambxb2,site,logger,ambxb2,c3log,number,external belowground ambient temperature (celcius)
AmbXb(2),ambxb2,site,logger,ambxb2,c4log,number,external belowground ambient temperature (celcius)
AmbXb_Avg(1),ambxb_avg1,site,logger,ambxb_avg1,c3log,number,external belowground ambient temperature (celcius)
AmbXb_Avg(1),ambxb_avg1,site,logger,ambxb_avg1,c4log,number,external belowground ambient temperature (celcius)
AmbXb_Avg(2),ambxb_avg2,site,logger,ambxb_avg2,c3log,number,external belowground ambient temperature (celcius)
AmbXb_Avg(2),ambxb_avg2,site,logger,ambxb_avg2,c4log,number,external belowground ambient temperature (celcius)
Ard_Duty(1),ard_duty1,treatment,T1,a_ard_duty,c3log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty(1),ard_duty1,treatment,T1,a_ard_duty,c4log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty(2),ard_duty2,treatment,T2,a_ard_duty,c3log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty(2),ard_duty2,treatment,T2,a_ard_duty,c4log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty(3),ard_duty3,treatment,T3,a_ard_duty,c3log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty(3),ard_duty3,treatment,T3,a_ard_duty,c4log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty(4),ard_duty4,treatment,eT3,a_ard_duty,c3log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty(5),ard_duty5,treatment,T1,b_ard_duty,c3log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty(5),ard_duty5,treatment,T1,b_ard_duty,c4log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty(6),ard_duty6,treatment,T2,b_ard_duty,c3log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty(6),ard_duty6,treatment,T2,b_ard_duty,c4log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty(7),ard_duty7,treatment,T3,b_ard_duty,c3log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty(7),ard_duty7,treatment,T3,b_ard_duty,c4log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty(8),ard_duty8,treatment,eT3,b_ard_duty,c3log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_Avg(1),ard_duty_avg1,treatment,T1,a_ard_duty,c3log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_Avg(1),ard_duty_avg1,treatment,T1,a_ard_duty,c4log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_Avg(2),ard_duty_avg2,treatment,T2,a_ard_duty,c3log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_Avg(2),ard_duty_avg2,treatment,T2,a_ard_duty,c4log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_Avg(3),ard_duty_avg3,treatment,T3,a_ard_duty,c3log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_Avg(3),ard_duty_avg3,treatment,T3,a_ard_duty,c4log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_Avg(4),ard_duty_avg4,treatment,eT3,a_ard_duty,c3log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_Avg(5),ard_duty_avg5,treatment,T1,b_ard_duty_sup,c3log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_Avg(5),ard_duty_avg5,treatment,T1,b_ard_duty_sup,c4log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_Avg(6),ard_duty_avg6,treatment,T2,b_ard_duty_sup,c3log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_Avg(6),ard_duty_avg6,treatment,T2,b_ard_duty_sup,c4log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_Avg(7),ard_duty_avg7,treatment,T3,b_ard_duty_sup,c3log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_Avg(7),ard_duty_avg7,treatment,T3,b_ard_duty_sup,c4log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_Avg(8),ard_duty_avg8,treatment,eT3,b_ard_duty_sup,c3log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_sup(1),ard_duty_sup1,treatment,T1,a_ard_duty_sup,c3log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_sup(1),ard_duty_sup1,treatment,T1,a_ard_duty_sup,c4log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_sup(2),ard_duty_sup2,treatment,T2,a_ard_duty_sup,c3log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_sup(2),ard_duty_sup2,treatment,T2,a_ard_duty_sup,c4log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_sup(3),ard_duty_sup3,treatment,T3,a_ard_duty_sup,c3log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_sup(3),ard_duty_sup3,treatment,T3,a_ard_duty_sup,c4log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_sup(4),ard_duty_sup4,treatment,eT3,a_ard_duty_sup,c3log,number,aboveground arduino duty cycle proportion (0-1000 milliseconds)
Ard_Duty_sup(5),ard_duty_sup5,treatment,T1,b_ard_duty_sup,c3log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_sup(5),ard_duty_sup5,treatment,T1,b_ard_duty_sup,c4log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_sup(6),ard_duty_sup6,treatment,T2,b_ard_duty_sup,c3log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_sup(6),ard_duty_sup6,treatment,T2,b_ard_duty_sup,c4log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_sup(7),ard_duty_sup7,treatment,T3,b_ard_duty_sup,c3log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_sup(7),ard_duty_sup7,treatment,T3,b_ard_duty_sup,c4log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Duty_sup(8),ard_duty_sup8,treatment,eT3,b_ard_duty_sup,c3log,number,belowground arduino duty cycle proportion (0-4000 milliseconds)
Ard_Result,ard_result,site,logger,ard_result,c4log,number,
Ard_Result,ard_result,site,logger,ard_result,c3log,number,
ATarget(1),atarget1,treatment,T1,atarget,c3log,number, warming target set point (delta in Celcius)
ATarget(1),atarget1,treatment,T1,atarget,c4log,number, warming target set point (delta in Celcius)
ATarget(2),atarget2,treatment,T2,atarget,c3log,number, warming target set point (delta in Celcius)
ATarget(2),atarget2,treatment,T2,atarget,c4log,number, warming target set point (delta in Celcius)
ATarget(3),atarget3,treatment,T3,atarget,c3log,number, warming target set point (delta in Celcius)
ATarget(3),atarget3,treatment,T3,atarget,c4log,number, warming target set point (delta in Celcius)
ATarget(4),atarget4,treatment,eT3,atarget,c3log,number, warming target set point (delta in Celcius)
Atemp_T_Avg(1),atemp_t_avg1,y,310,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(1),atemp_t_avg1,y,440,atemp_avg,c4log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(10),atemp_t_avg10,y,313,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(10),atemp_t_avg10,y,443,atemp_avg,c4log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(11),atemp_t_avg11,y,323,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(11),atemp_t_avg11,y,453,atemp_avg,c4log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(12),atemp_t_avg12,y,333,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(12),atemp_t_avg12,y,463,atemp_avg,c4log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(13),atemp_t_avg13,y,610,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(14),atemp_t_avg14,y,620,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(15),atemp_t_avg15,y,630,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(16),atemp_t_avg16,y,613,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(17),atemp_t_avg17,y,623,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(18),atemp_t_avg18,y,633,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(2),atemp_t_avg2,y,320,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(2),atemp_t_avg2,y,450,atemp_avg,c4log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(3),atemp_t_avg3,y,330,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(3),atemp_t_avg3,y,460,atemp_avg,c4log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(4),atemp_t_avg4,y,311,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(4),atemp_t_avg4,y,441,atemp_avg,c4log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(5),atemp_t_avg5,y,321,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(5),atemp_t_avg5,y,451,atemp_avg,c4log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(6),atemp_t_avg6,y,331,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(6),atemp_t_avg6,y,461,atemp_avg,c4log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(7),atemp_t_avg7,y,312,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(7),atemp_t_avg7,y,442,atemp_avg,c4log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(8),atemp_t_avg8,y,322,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(8),atemp_t_avg8,y,452,atemp_avg,c4log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(9),atemp_t_avg9,y,332,atemp_avg,c3log,number,variable of record for aboveground temperature in plots (celcius)
Atemp_T_Avg(9),atemp_t_avg9,y,462,atemp_avg,c4log,number,variable of record for aboveground temperature in plots (celcius)
B_DC(1),b_dc1,treatment,T1,b_dc,c3log,number,computed duty cycle proportion belowground (0-1)
B_DC(1),b_dc1,treatment,T1,b_dc,c4log,number,computed duty cycle proportion belowground (0-1)
B_DC(2),b_dc2,treatment,T2,b_dc,c3log,number,computed duty cycle proportion belowground (0-1)
B_DC(2),b_dc2,treatment,T2,b_dc,c4log,number,computed duty cycle proportion belowground (0-1)
B_DC(3),b_dc3,treatment,T3,b_dc,c3log,number,computed duty cycle proportion belowground (0-1)
B_DC(3),b_dc3,treatment,T3,b_dc,c4log,number,computed duty cycle proportion belowground (0-1)
B_DC(4),b_dc4,treatment,eT3,b_dc,c3log,number,computed duty cycle proportion belowground (0-1)
B_DC_prev(1),b_dc_prev1,treatment,T1,b_dc_prev,c3log,number, previously computed  (-15 seconds)duty cycle proportion belowground (0-1)
B_DC_prev(1),b_dc_prev1,treatment,T1,b_dc_prev,c4log,number, previously computed  (-15 seconds)duty cycle proportion belowground (0-1)
B_DC_prev(2),b_dc_prev2,treatment,T2,b_dc_prev,c3log,number, previously computed  (-15 seconds)duty cycle proportion belowground (0-1)
B_DC_prev(2),b_dc_prev2,treatment,T2,b_dc_prev,c4log,number, previously computed  (-15 seconds)duty cycle proportion belowground (0-1)
B_DC_prev(3),b_dc_prev3,treatment,T3,b_dc_prev,c3log,number, previously computed  (-15 seconds)duty cycle proportion belowground (0-1)
B_DC_prev(3),b_dc_prev3,treatment,T3,b_dc_prev,c4log,number, previously computed  (-15 seconds)duty cycle proportion belowground (0-1)
B_DC_prev(4),b_dc_prev4,treatment,eT3,b_dc_prev,c3log,number, previously computed  (-15 seconds)duty cycle proportion belowground (0-1)
B_Duty_Avg(1),b_duty_avg1,treatment,T1,b_duty,c3log,number,computed duty cycle proportion belowground (0-1) control step
B_Duty_Avg(1),b_duty_avg1,treatment,T1,b_duty,c4log,number,computed duty cycle proportion belowground (0-1) control step
B_Duty_Avg(2),b_duty_avg2,treatment,T2,b_duty,c3log,number,computed duty cycle proportion belowground (0-1) control step
B_Duty_Avg(2),b_duty_avg2,treatment,T2,b_duty,c4log,number,computed duty cycle proportion belowground (0-1) control step
B_Duty_Avg(3),b_duty_avg3,treatment,T3,b_duty,c3log,number,computed duty cycle proportion belowground (0-1) control step
B_Duty_Avg(3),b_duty_avg3,treatment,T3,b_duty,c4log,number,computed duty cycle proportion belowground (0-1) control step
B_Duty_Avg(4),b_duty_avg4,treatment,eT3,b_duty,c3log,number,computed duty cycle proportion belowground (0-1) control step
B_TargetDEV(1),b_targetdev1,treatment,T1,b_targetdev,c3log,number,proportional deviation from b_target (b_target-delta/ b_target)
B_TargetDEV(1),b_targetdev1,treatment,T1,b_targetdev,c4log,number,proportional deviation from b_target (b_target-delta/ b_target)
B_TargetDEV(2),b_targetdev2,treatment,T2,b_targetdev,c3log,number,proportional deviation from b_target (b_target-delta/ b_target)
B_TargetDEV(2),b_targetdev2,treatment,T2,b_targetdev,c4log,number,proportional deviation from b_target (b_target-delta/ b_target)
B_TargetDEV(3),b_targetdev3,treatment,T3,b_targetdev,c3log,number,proportional deviation from b_target (b_target-delta/ b_target)
B_TargetDEV(3),b_targetdev3,treatment,T3,b_targetdev,c4log,number,proportional deviation from b_target (b_target-delta/ b_target)
B_TargetDEV(4),b_targetdev4,treatment,eT3,b_targetdev,c3log,number,proportional deviation from b_target (b_target-delta/ b_target)
B_TargetDIF(1),b_targetdif1,treatment,T1,b_targetdif,c3log,number,delta from b_target
B_TargetDIF(1),b_targetdif1,treatment,T1,b_targetdif,c4log,number,delta from b_target
B_TargetDIF(2),b_targetdif2,treatment,T2,b_targetdif,c3log,number,delta from b_target
B_TargetDIF(2),b_targetdif2,treatment,T2,b_targetdif,c4log,number,delta from b_target
B_TargetDIF(3),b_targetdif3,treatment,T3,b_targetdif,c3log,number,delta from b_target
B_TargetDIF(3),b_targetdif3,treatment,T3,b_targetdif,c4log,number,delta from b_target
