Plot,Trap,Date_weighed,Date_collected,M_woody,M_reproductive,M_leaf_oak,M_leaf_tulip,M_leaf_beech,M_leaf_other,Notes
MSLE,F,9/6/2019,1/25/2019,1.7,2.01,0,0,1.22,0.24,
MSME,A,9/6/2019,1/25/2019,0.82,4,0,0,0.85,2.3,
MSME,B,9/6/2019,1/25/2019,1.72,3.58,0,0,0.21,1.49,
MSME,C,9/6/2019,1/25/2019,2.12,2.76,0,0,0.45,0.12,
MSME,D,9/6/2019,1/25/2019,0.34,2.8,0,0,0.23,0.48,
MSME,E,9/6/2019,1/25/2019,1.32,6.37,0,0,0.27,0.23,
MSME,F,9/6/2019,1/25/2019,8.29,3.44,0,0,0.16,0.66,
HSLE,A,9/6/2019,1/25/2019,4.77,3.84,0.84,0,0,0.31,
HSLE,B,9/6/2019,1/25/2019,2.84,3.68,0,0,0,0,
HSLE,C,9/6/2019,1/25/2019,1.3,3.57,0,0,0.02,0.6,
HSLE,D,9/6/2019,1/25/2019,3.15,2.07,0,0,0,0.1,
HSLE,E,9/6/2019,1/25/2019,4.01,3.04,0.29,0,0,0.53,
HSLE,F,9/6/2019,1/25/2019,0,1.63,0,0,0.27,0.27,
HSME,A,9/6/2019,1/25/2019,1.1,1.5,0,0,0.78,0,
HSME,B,9/6/2019,1/25/2019,15.37,1.48,0,0,0.92,0,
HSME,C,9/6/2019,1/25/2019,0,2.18,0,0,0.02,0.15,
HSME,D,9/6/2019,1/25/2019,5.48,2.95,0,0,0.31,0,
HSME,E,9/6/2019,1/25/2019,0.82,2.81,0,0,0,0.08,
HSME,F,9/6/2019,1/25/2019,0.32,1.38,0.83,0,0.41,0,
HSHE,A,9/6/2019,1/25/2019,0,1.51,0.17,0,0.22,0.23,
HSHE,B,9/6/2019,1/25/2019,0.79,2.02,0,0,0.14,0.72,
HSHE,C,9/6/2019,1/25/2019,0,1.75,0,0,0.08,0.22,
HSHE,D,9/6/2019,1/25/2019,0,1.5,0.51,0,0,0,
HSHE,E,9/6/2019,1/25/2019,0,1.25,0,0,0.15,0.12,
HSHE,F,9/6/2019,1/25/2019,0,1.65,0.56,0,0.28,0.19,
,,,,,,,,,,
LSME,A,9/6/2019,7/3/2019,0.77,7.82,0,0,0.57,2.43,
LSME,B,9/6/2019,7/3/2019,2.3,5.64,0,0,0.81,2.23,
LSME,C,9/6/2019,7/3/2019,0.48,3.94,0,0,0.92,3.53,
LSME,D,9/6/2019,7/3/2019,58.29,2.59,0,0,1.23,2.58,
LSME,E,9/6/2019,7/3/2019,2.99,4.05,0,0,0.81,1.11,
LSME,F,9/6/2019,7/3/2019,23.59,0,0.21,0,0.57,0.88,
MSME,A,9/6/2019,7/3/2019,0,2.24,0.78,0.28,0.45,0.43,
MSME,B,9/6/2019,7/3/2019,9,3.33,1.52,0,0.31,1.37,
MSME,C,9/6/2019,7/3/2019,5.38,4.95,0.69,0,0.23,0.81,
MSME,D,9/6/2019,7/3/2019,12.78,6.19,0.11,3.5,8.2,0,
MSME,E,9/6/2019,7/3/2019,0.73,3.04,0.03,0,0.47,1.84,
MSME,F,9/6/2019,7/3/2019,3.35,8.74,0,2.53,0.44,0,
HSME,A,9/6/2019,7/3/2019,0,7.17,0.25,1.16,0,1.21,
HSME,B,9/6/2019,7/3/2019,0.58,11.75,0,0.25,0.18,0.46,
HSME,C,9/6/2019,7/3/2019,1.88,14.05,0.18,0.13,0.83,0,
HSME,D,9/6/2019,7/3/2019,3.19,12.52,0,0.89,0,1.27,
HSME,E,9/6/2019,7/3/2019,0.89,7.68,0,1.08,0,2.09,
HSME,F,9/6/2019,7/3/2019,3.4,7.53,0.24,0.6,0,0.64,
HSLE,A,9/6/2019,7/3/2019,7.09,1.66,0,0.09,0.07,0,
HSLE,B,9/6/2019,7/3/2019,3.29,1.74,0.44,0,0,2.48,
HSLE,C,9/6/2019,7/3/2019,0.89,4.23,1.52,0.64,0,1.15,
HSLE,D,9/6/2019,7/3/2019,0.65,3.13,0.89,0,0,2.06,
HSLE,E,9/6/2019,7/3/2019,1.25,4.53,0.36,0.27,0,2.66,
HSLE,F,9/6/2019,7/3/2019,4.25,4.42,0.6,0.68,0,1.24,
HSHE,A,9/6/2019,7/3/2019,5.58,12.18,0,0.69,0,2.5,
HSHE,B,9/6/2019,7/3/2019,2.33,9.98,0,0,0.49,0.49,
HSHE,C,9/6/2019,7/3/2019,0,8.64,0,0.24,0,1,
HSHE,D,9/6/2019,7/3/2019,2.33,8.63,0,0,0.35,0.73,
HSHE,E,9/6/2019,7/3/2019,2.43,11.05,0,0.4,0,1.98,
HSHE,F,9/6/2019,7/3/2019,12.38,12.02,0,0,0.42,1.03,
MSHE,A,9/6/2019,7/3/2019,6.22,14.83,0,0,1.61,1.98,
MSHE,B,9/6/2019,7/3/2019,3.5,0,6.72,0,0.35,2.12,
MSHE,C,9/6/2019,7/3/2019,3.48,3.86,1.66,0.5,0.5,1.13,
MSHE,D,9/6/2019,7/3/2019,5.96,4.05,0.51,5.22,0.25,1.66,
MSHE,E,9/6/2019,7/3/2019,3.46,1.95,0,0.12,0.18,2.19,
MSHE,F,9/6/2019,7/3/2019,0.4,5.34,0.73,0,0.31,1.08,
MSLE,A,9/6/2019,7/3/2019,3.54,4.19,0,0,1.05,1.8,
MSLE,B,9/6/2019,7/3/2019,1.94,6.03,0.14,0,0.98,0.94,
MSLE,C,9/6/2019,7/3/2019,2.19,4.9,0.28,0.1,1.31,2.27,
MSLE,D,9/6/2019,7/3/2019,2.17,3.19,1.79,0,0,2,
MSLE,E,9/6/2019,7/3/2019,0.53,3.75,0,0.23,1.32,0.88,
MSLE,F,9/6/2019,7/3/2019,0.27,2.27,0,0,0.27,5.9,
LSLE,A,9/6/2019,7/3/2019,1.28,2.58,0,0,0,2.44,
LSLE,B,9/6/2019,7/3/2019,6.74,3.79,0,0.28,0.03,1.37,
LSLE,C,9/6/2019,7/3/2019,,,,,,,BROKEN TRAP
LSLE,D,9/6/2019,7/3/2019,5.07,5.19,0,0.17,0.88,1.53,
LSLE,E,9/6/2019,7/3/2019,1.33,1.85,0.07,0,0.62,0.91,
LSLE,F,9/6/2019,7/3/2019,16.12,3.42,0,0.13,0.78,1.29,
LSHE,A,9/6/2019,7/3/2019,0.93,22.37,0,0,1.13,0.47,
LSHE,B,9/6/2019,7/3/2019,1.37,7.57,0,0,0.16,0.62,
LSHE,C,9/6/2019,7/3/2019,0.85,9.51,0,0,0.27,0.84,
LSHE,D,9/6/2019,7/3/2019,4.65,39.81,0,0,0.37,0.6,
LSHE,E,9/6/2019,7/3/2019,6.1,9.72,0.27,0.17,0.3,0.28,
LSHE,F,9/6/2019,7/3/2019,2.84,15.46,0,0,0.92,0.99,
,,,,,,,,,,
LSLE,A,9/6/2019,11/21/2018,0,3.84,20.4,0,35.27,1.93,
LSLE,B,9/6/2019,11/21/2018,10.18,3.41,31.28,0,16.55,10.54,
LSLE,C,9/6/2019,11/21/2018,6.93,6.13,27.44,0.38,37.65,4.4,
LSLE,D,9/6/2019,11/21/2018,0.94,4.85,15.75,0.18,30.61,3.22,
LSLE,E,9/6/2019,11/21/2018,4.84,6.48,15.36,0.11,36.84,3.74,
LSLE,F,9/6/2019,11/21/2018,0.99,6.18,18.32,0,30.71,1.93,
LSME,A,9/6/2019,11/21/2018,1.03,7.01,10.15,0.98,41.95,5.83,
LSME,B,9/6/2019,11/21/2018,1.45,6.77,6.56,0.37,42.92,10.11,
LSME,C,9/6/2019,11/21/2018,0,4.26,9.56,0.47,46.15,18.3,
LSME,D,9/6/2019,11/21/2018,6.55,6.09,9.16,0.12,36.39,18.2,
LSME,E,9/6/2019,11/21/2018,6.06,7.8,16.32,0,52.53,2.62,
LSME,F,9/6/2019,11/21/2018,2.41,5.19,12.72,0,39.01,18.26,
LSHE,A,9/6/2019,11/21/2018,0.39,4.39,2.9,0.32,29.71,27.59,
LSHE,B,9/6/2019,11/21/2018,1.95,7.52,2.48,0,49.14,4.73,
LSHE,C,9/6/2019,11/21/2018,22.18,8.3,2.27,1.24,27.94,27.33,
LSHE,D,9/6/2019,11/21/2018,2.42,9.79,3.79,0.46,41.57,9.18,
LSHE,E,9/6/2019,11/21/2018,5.57,5.95,15.85,1.27,22.05,19.85,
LSHE,F,9/6/2019,11/21/2018,1.72,8.08,7.02,0.73,22.67,16.64,
,,,,,,,,,,
LSHE,A,9/6/2019,11/8/2018,3.28,0.32,8.53,8.22,31.71,18.83,
LSHE,B,9/6/2019,11/8/2018,0.76,0,2.97,10.84,34.88,23.96,
LSHE,C,9/6/2019,11/8/2018,12.57,0,1,3.77,26.25,35.99,
LSHE,D,9/6/2019,11/8/2018,1.36,0,1.88,6.21,14.37,36.82,
LSHE,E,9/6/2019,11/8/2018,1.22,4.23,27.39,15.22,16.55,15.09,
LSHE,F,9/6/2019,11/8/2018,10.84,0,28.9,12.27,12,25.09,
